target,Pred,fVal
ESSFdc1_101,ESSFdc1_101,1
ESSFdc1_101,ESSFdc1_102,0
ESSFdc1_101,ESSFdc1_103,0.05
ESSFdc1_101,ESSFdc1_104,0.25
ESSFdc1_101,ESSFdc1_110,0.15
ESSFdc1_101,ESSFdc1_111,0.1
ESSFdc1_101,ESSFdc1_112,0
ESSFdc1_101,Ro,1
ESSFdc1_102,ESSFdc1_101,0
ESSFdc1_102,ESSFdc1_102,1
ESSFdc1_102,ESSFdc1_103,0.1
ESSFdc1_102,ESSFdc1_104,0
ESSFdc1_102,ESSFdc1_110,0
ESSFdc1_102,ESSFdc1_111,0
ESSFdc1_102,ESSFdc1_112,0
ESSFdc1_102,Ro,0.1
ESSFdc1_103,ESSFdc1_101,0.05
ESSFdc1_103,ESSFdc1_102,0.1
ESSFdc1_103,ESSFdc1_103,1
ESSFdc1_103,ESSFdc1_104,0.15
ESSFdc1_103,ESSFdc1_110,0
ESSFdc1_103,ESSFdc1_111,0
ESSFdc1_103,ESSFdc1_112,0
ESSFdc1_103,Ro,0
ESSFdc1_104,ESSFdc1_101,0.25
ESSFdc1_104,ESSFdc1_102,0
ESSFdc1_104,ESSFdc1_103,0.15
ESSFdc1_104,ESSFdc1_104,1
ESSFdc1_104,ESSFdc1_110,0
ESSFdc1_104,ESSFdc1_111,0
ESSFdc1_104,ESSFdc1_112,0
ESSFdc1_104,Ro,0
ESSFdc1_110,ESSFdc1_101,0.15
ESSFdc1_110,ESSFdc1_102,0
ESSFdc1_110,ESSFdc1_103,0
ESSFdc1_110,ESSFdc1_104,0
ESSFdc1_110,ESSFdc1_110,1
ESSFdc1_110,ESSFdc1_111,0.25
ESSFdc1_110,ESSFdc1_112,0.1
ESSFdc1_110,Ro,0
ESSFdc1_111,ESSFdc1_101,0.1
ESSFdc1_111,ESSFdc1_102,0
ESSFdc1_111,ESSFdc1_103,0
ESSFdc1_111,ESSFdc1_104,0
ESSFdc1_111,ESSFdc1_110,0.25
ESSFdc1_111,ESSFdc1_111,1
ESSFdc1_111,ESSFdc1_112,0.3
ESSFdc1_111,Ro,0
ESSFdc1_112,ESSFdc1_101,0
ESSFdc1_112,ESSFdc1_102,0
ESSFdc1_112,ESSFdc1_103,0
ESSFdc1_112,ESSFdc1_104,0
ESSFdc1_112,ESSFdc1_110,0.1
ESSFdc1_112,ESSFdc1_111,0.3
ESSFdc1_112,ESSFdc1_112,1
ESSFdc1_112,Ro,0
ESSFdc2_101,ESSFdc2_101,1
ESSFdc2_101,ESSFdc2_102,0
ESSFdc2_101,ESSFdc2_103,0
ESSFdc2_101,ESSFdc2_104,0.1
ESSFdc2_101,ESSFdc2_110,0.15
ESSFdc2_101,ESSFdc2_111,0.1
ESSFdc2_101,ESSFdc2_112,0
ESSFdc2_101,ESSFdc2_Ro,0
ESSFdc2_102,ESSFdc2_101,0
ESSFdc2_102,ESSFdc2_102,1
ESSFdc2_102,ESSFdc2_103,0.1
ESSFdc2_102,ESSFdc2_104,0.1
ESSFdc2_102,ESSFdc2_110,0
ESSFdc2_102,ESSFdc2_111,0
ESSFdc2_102,ESSFdc2_112,0
ESSFdc2_102,ESSFdc2_Ro,0.15
ESSFdc2_103,ESSFdc2_101,0
ESSFdc2_103,ESSFdc2_102,0.1
ESSFdc2_103,ESSFdc2_103,1
ESSFdc2_103,ESSFdc2_104,0.2
ESSFdc2_103,ESSFdc2_110,0
ESSFdc2_103,ESSFdc2_111,0
ESSFdc2_103,ESSFdc2_112,0
ESSFdc2_103,ESSFdc2_Ro,0
ESSFdc2_104,ESSFdc2_101,0.1
ESSFdc2_104,ESSFdc2_102,0.1
ESSFdc2_104,ESSFdc2_103,0.2
ESSFdc2_104,ESSFdc2_104,1
ESSFdc2_104,ESSFdc2_110,0.1
ESSFdc2_104,ESSFdc2_111,0
ESSFdc2_104,ESSFdc2_112,0
ESSFdc2_104,ESSFdc2_Ro,0
ESSFdc2_110,ESSFdc2_101,0.15
ESSFdc2_110,ESSFdc2_102,0
ESSFdc2_110,ESSFdc2_103,0
ESSFdc2_110,ESSFdc2_104,0.1
ESSFdc2_110,ESSFdc2_110,1
ESSFdc2_110,ESSFdc2_111,0.05
ESSFdc2_110,ESSFdc2_112,0
ESSFdc2_110,ESSFdc2_Ro,0
ESSFdc2_111,ESSFdc2_101,0.1
ESSFdc2_111,ESSFdc2_102,0
ESSFdc2_111,ESSFdc2_103,0
ESSFdc2_111,ESSFdc2_104,0
ESSFdc2_111,ESSFdc2_110,0.05
ESSFdc2_111,ESSFdc2_111,1
ESSFdc2_111,ESSFdc2_112,0.3
ESSFdc2_111,ESSFdc2_Ro,0
ESSFdc2_112,ESSFdc2_101,0
ESSFdc2_112,ESSFdc2_102,0
ESSFdc2_112,ESSFdc2_103,0
ESSFdc2_112,ESSFdc2_104,0
ESSFdc2_112,ESSFdc2_110,0
ESSFdc2_112,ESSFdc2_111,0.3
ESSFdc2_112,ESSFdc2_112,1
ESSFdc2_112,ESSFdc2_Ro,0
ESSFdc2_Ro,ESSFdc2_101,0
ESSFdc2_Ro,ESSFdc2_102,0.15
ESSFdc2_Ro,ESSFdc2_103,0
ESSFdc2_Ro,ESSFdc2_104,0
ESSFdc2_Ro,ESSFdc2_110,0
ESSFdc2_Ro,ESSFdc2_111,0
ESSFdc2_Ro,ESSFdc2_112,0
ESSFdc2_Ro,ESSFdc2_Ro,1
ESSFmc_01,ESSFmc_01,1
ESSFmc_01,ESSFmc_02,0
ESSFmc_01,ESSFmc_03,0
ESSFmc_01,ESSFmc_04,0.15
ESSFmc_01,ESSFmc_05,0.05
ESSFmc_01,ESSFmc_06,0.1
ESSFmc_01,ESSFmc_07,0
ESSFmc_01,ESSFmc_08,0
ESSFmc_01,ESSFmc_09,0.05
ESSFmc_01,ESSFmc_10,0
ESSFmc_02,ESSFmc_01,0
ESSFmc_02,ESSFmc_02,1
ESSFmc_02,ESSFmc_03,0.15
ESSFmc_02,ESSFmc_04,0
ESSFmc_02,ESSFmc_05,0
ESSFmc_02,ESSFmc_06,0
ESSFmc_02,ESSFmc_07,0
ESSFmc_02,ESSFmc_08,0
ESSFmc_02,ESSFmc_09,0
ESSFmc_02,ESSFmc_10,0
ESSFmc_03,ESSFmc_01,0
ESSFmc_03,ESSFmc_02,0.15
ESSFmc_03,ESSFmc_03,1
ESSFmc_03,ESSFmc_04,0.15
ESSFmc_03,ESSFmc_05,0
ESSFmc_03,ESSFmc_06,0
ESSFmc_03,ESSFmc_07,0
ESSFmc_03,ESSFmc_08,0
ESSFmc_03,ESSFmc_09,0
ESSFmc_03,ESSFmc_10,0
ESSFmc_04,ESSFmc_01,0.15
ESSFmc_04,ESSFmc_02,0
ESSFmc_04,ESSFmc_03,0.15
ESSFmc_04,ESSFmc_04,1
ESSFmc_04,ESSFmc_05,0
